"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.224518804,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.165087422,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.347472292,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.358150705,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.110855207,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.465339449,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.150092019,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.267809916,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.02334399,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.857296978,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.71007989,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.180031541,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.403655826,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.217320416,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.472440397,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.4496974,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.2,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.611004919,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.304549026,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.311582511,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.650870801,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.803461332,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.128410086,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.294237392,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.19486544,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.048661394,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.283218903,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.536038724,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.425776499,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.411451506,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.625881975,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.742659473,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.439752745,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.308902555,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.588596311,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.430867107,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.671567869,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.592250083,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.881775267,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.576116387,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.009973958,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.452561206,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.787434564,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.862045315,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.961825186,
"ARG","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.039519439,
"ARG","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.006364289,
"ARG","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.700061575,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.722026132,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.985756447,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.885785586,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.385208508,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.037738005,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.798025906,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.277360218,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.786094636,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.112658206,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.43801216,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.912075885,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.936542368,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.211495821,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.629744358,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.142074285,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.577574526,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.049073357,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.303263951,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.310800531,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.061030288,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.333179069,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.902059,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.278145468,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.22101115,
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.019217218,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.745701057,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.811962365,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.500202925,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.354049279,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.45237301,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.15172266,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.618923924,"P"
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.542791999,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.707015905,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.656694491,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.69569402,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.410338185,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.144633973,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.801155209,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.662349699,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.442751033,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.913593264,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.338659369,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.353785599,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.272113552,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.334408606,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.324311213,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.270331441,
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.416912719,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.714373124,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.133084729,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.157738351,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.170427688,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.082506436,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.905625045,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.455300092,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.364535083,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.727122043,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.32344601,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.57009132,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.567734486,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.543653175,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.211094577,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.108778231,"P"
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.310395383,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.975902064,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.039394093,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",4.448364418,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.765645614,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.516090605,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.529305626,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",1.421818857,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.616659059,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.994956988,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.714482826,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.575638393,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.732925413,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.845509858,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.08052983,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.937447501,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.36017,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-7.57764,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q3",9.36381,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.9399,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.80835,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.97631,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.66457,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.69169,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.674429109,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.196587551,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.023433336,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.184364844,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.883074262,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.345534291,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.027692007,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.025704139,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.495155357,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.389823598,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.697764004,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.849939884,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.647410622,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.27533313,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.317702462,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.363482601,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.571794875,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.173567115,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.088769567,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.634625676,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",4.255502011,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-2.335642348,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.958997775,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-2.400004845,
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.468048603,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.928643933,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.785236875,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.02815511,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.798165444,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.102467306,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.474595209,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.435311131,"P"
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.000447045,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.233900409,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.109026297,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.276353595,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.077360185,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.920544314,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.700981909,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",2.162301337,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.021735062,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.581737437,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.194103088,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.633183727,
"LUX","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.745967202,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.497233163,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.110320251,"P"
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.822924303,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.387912495,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.801676582,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.369403562,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.591799411,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.795672523,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.819612486,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-1.252836804,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.680789326,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.190933741,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.794505895,
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.559961929,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.426176806,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.802832825,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.927323082,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.25545833,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.239796715,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.349939258,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.338846094,"P"
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.478026943,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.417697538,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.901945924,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.925439552,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.129885374,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.030937132,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.397286669,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.130871434,
"AUT","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.265851186,
"AUT","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.128453288,
"AUT","QGDP","TOT","PC_CHGPP","Q","2021-Q3",4.244865631,
"AUT","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.756046042,
"AUT","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.81305257,
"AUT","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.074010506,
"AUT","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.093540029,
"AUT","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.035258732,
"IRL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",9.127466138,
"IRL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.91322289,
"IRL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.77077569,
"IRL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-1.262947995,
"IRL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",7.188414686,
"IRL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.281044509,
"IRL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",2.844614877,
"IRL","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.304551635,
"CHE","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.139170746,
"CHE","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.98738369,
"CHE","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.711542445,
"CHE","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.189981019,
"CHE","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.335839799,
"CHE","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.290925818,
"CHE","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.161906067,
"CHE","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.026388506,
"NZL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.084342456,
"NZL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.370961285,
"NZL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-3.883256083,
"NZL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.857185913,
"NZL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.43952824,
"NZL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.885071003,
"NZL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",2.014847767,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.8,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.4,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.4,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.3,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.6,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-2.7,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",3.9,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0,
"CHL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.663587692,
"CHL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.348715839,
"CHL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",4.611339688,
"CHL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.692121555,
"CHL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.686220584,
"CHL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.138327182,
"CHL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.180470028,
"SWE","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.503150233,
"SWE","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.843160841,
"SWE","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.786602156,
"SWE","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.124998357,
"SWE","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.185678118,
"SWE","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.20722605,
"SWE","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.343185225,
"SWE","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.493889955,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.057077156,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.066066729,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.344041374,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.579475884,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.226964214,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.502081867,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.168420781,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.075117737,
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.284195388,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.296258402,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.239217484,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.525233215,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.232993743,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.110114325,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.443317289,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q4",1.36596517,"P"
"OECDE","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.235631,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.476846,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.205811,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.94421,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.724174,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.676928,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.262859,
